woman_not_encouraged_to_STEM,woman_face_discrimination_hiring_in_STEM,woman_less_interested_in_STEM,woman_poor_family_conciliation_in_STEM,black_and_hispanics_not_encouraged_to_STEM,black_and_hispanics_face_discrimination_hiring_in_STEM,black_and_hispanics_less_interested_in_STEM,black_and_hispanics_poor_access_to_quality_education,women_discrimination_size_problem_in_STEM,black_and_hispanics_discrimination_size_problem_in_STEM,importance_of_gender_diversity,importance_of_ethnic_diversity,influence_of_gender_in_own_personal_success,influence_of_ethnicity_in_own_personal_success,experienced_gender_discrimination,experienced_race_discrimination,REGION,STEM_PROFESSION,GENDER,ETHNICITY,ETHNICITY_GROUPED,ETHNICITY_GROUPED_BLACK-HISPANICS,RACE,RACE_GROUPED,IDEOLOGY,CONSERVATIVE-LIBERAL,PARTY
minor problem,major problem,minor problem,no problem,minor problem,major problem,minor problem,major problem,major problem,major problem,extremely important,extremely important,influence,no influence,yes,yes,South,no,female,Black,Non-White,Asian/White,Black,Non-White,Moderate,3.0,Democrat
minor problem,major problem,no problem,minor problem,minor problem,major problem,no problem,minor problem,minor problem,minor problem,very important,extremely important,influence,no influence,yes,no,Midwest,no,female,White,White,Black/Hispanic,White,White,Conservative,2.0,Democrat
major problem,no problem,no problem,minor problem,no problem,no problem,no problem,no problem,no problem,no problem,not important,not important,no influence,no influence,no,no,South,yes,female,White,White,Black/Hispanic,White,White,Moderate,3.0,Republican
minor problem,minor problem,major problem,no problem,minor problem,minor problem,minor problem,no problem,minor problem,no problem,somewhat important,not too important,no influence,no influence,no,no,South,no,male,White,White,Black/Hispanic,White,White,Conservative,2.0,Republican
major problem,major problem,minor problem,major problem,major problem,major problem,minor problem,major problem,minor problem,minor problem,extremely important,extremely important,influence,influence,no,no,South,yes,male,White,White,Black/Hispanic,White,White,Moderate,3.0,Democrat
major problem,major problem,no problem,minor problem,minor problem,minor problem,no problem,major problem,minor problem,minor problem,very important,very important,no influence,no influence,no,no,Northeast,yes,male,White,White,Black/Hispanic,White,White,Liberal,4.0,Democrat
no problem,major problem,no problem,major problem,minor problem,major problem,no problem,major problem,major problem,major problem,extremely important,extremely important,influence,influence,no,no,Midwest,yes,male,White,White,Black/Hispanic,White,White,Liberal,4.0,Democrat
minor problem,minor problem,minor problem,major problem,major problem,minor problem,major problem,minor problem,minor problem,minor problem,somewhat important,somewhat important,no influence,influence,yes,yes,Northeast,no,male,Hispanic,Non-White,Asian/White,Black,Non-White,Moderate,3.0,Democrat
major problem,major problem,no problem,minor problem,major problem,major problem,no problem,major problem,minor problem,minor problem,somewhat important,not too important,no influence,no influence,yes,no,Northeast,no,female,White,White,Black/Hispanic,White,White,Conservative,2.0,Republican
no problem,minor problem,minor problem,minor problem,minor problem,minor problem,no problem,minor problem,minor problem,minor problem,somewhat important,very important,influence,no influence,no,no,West,yes,female,White,White,Black/Hispanic,White,White,Moderate,3.0,Republican
no problem,no problem,minor problem,minor problem,no problem,no problem,major problem,no problem,no problem,no problem,not important,not important,no influence,no influence,no,no,Northeast,yes,male,White,White,Black/Hispanic,White,White,Moderate,3.0,Republican
minor problem,no problem,no problem,minor problem,no problem,no problem,major problem,no problem,no problem,no problem,somewhat important,not too important,no influence,no influence,no,no,Northeast,no,male,White,White,Black/Hispanic,White,White,Conservative,2.0,Republican
major problem,major problem,minor problem,no problem,major problem,major problem,minor problem,major problem,major problem,major problem,very important,very important,no influence,no influence,no,no,West,yes,male,White,White,Black/Hispanic,White,White,Liberal,4.0,Republican
minor problem,minor problem,major problem,minor problem,no problem,no problem,major problem,no problem,minor problem,minor problem,not too important,not too important,no influence,no influence,no,no,West,yes,female,Asian,Non-White,Black/Hispanic,Asian,Non-White,Conservative,2.0,Republican
minor problem,major problem,minor problem,no problem,minor problem,major problem,no problem,minor problem,major problem,major problem,very important,very important,influence,no influence,no,no,West,no,female,Hispanic,Non-White,Asian/White,White,White,Moderate,3.0,Democrat
no problem,no problem,no problem,no problem,no problem,no problem,no problem,no problem,no problem,no problem,not important,somewhat important,no influence,no influence,no,no,Northeast,no,female,White,White,Black/Hispanic,White,White,Moderate,3.0,Democrat
no problem,no problem,minor problem,minor problem,no problem,no problem,minor problem,no problem,no problem,no problem,very important,very important,influence,no influence,no,no,West,no,male,Black,Non-White,Asian/White,Black,Non-White,Moderate,3.0,Democrat
no problem,no problem,no problem,no problem,no problem,minor problem,no problem,minor problem,no problem,minor problem,somewhat important,very important,no influence,influence,no,yes,South,yes,male,Hispanic,Non-White,Asian/White,White,White,Conservative,2.0,Republican
major problem,major problem,no problem,minor problem,major problem,major problem,no problem,major problem,major problem,major problem,extremely important,extremely important,influence,influence,yes,no,Northeast,no,female,White,White,Black/Hispanic,White,White,Very liberal,5.0,Democrat
no problem,no problem,major problem,no problem,no problem,no problem,no problem,minor problem,no problem,no problem,somewhat important,somewhat important,no influence,influence,no,no,Northeast,yes,male,White,White,Black/Hispanic,White,White,Conservative,2.0,Republican
minor problem,major problem,no problem,major problem,no problem,major problem,no problem,major problem,major problem,major problem,extremely important,very important,influence,no influence,no,no,Northeast,yes,male,White,White,Black/Hispanic,White,White,Moderate,3.0,Republican
minor problem,minor problem,minor problem,no problem,minor problem,major problem,no problem,major problem,major problem,major problem,very important,very important,influence,influence,yes,no,Northeast,yes,female,White,White,Black/Hispanic,White,White,Moderate,3.0,Republican
major problem,major problem,no problem,major problem,minor problem,minor problem,no problem,major problem,major problem,major problem,extremely important,extremely important,no influence,no influence,no,no,South,yes,female,White,White,Black/Hispanic,White,White,Liberal,4.0,Democrat
minor problem,major problem,no problem,major problem,minor problem,major problem,no problem,minor problem,minor problem,major problem,extremely important,very important,no influence,influence,yes,yes,West,yes,female,Hispanic,Non-White,Asian/White,Other,Non-White,Liberal,4.0,Democrat
no problem,minor problem,major problem,no problem,no problem,no problem,no problem,no problem,minor problem,no problem,not too important,somewhat important,influence,no influence,no,no,South,no,male,Black,Non-White,Asian/White,Black,Non-White,Moderate,3.0,Democrat
no problem,minor problem,no problem,minor problem,no problem,minor problem,no problem,minor problem,minor problem,minor problem,somewhat important,somewhat important,no influence,no influence,no,no,Midwest,yes,male,White,White,Black/Hispanic,White,White,Conservative,2.0,Republican
major problem,major problem,no problem,no problem,no problem,no problem,major problem,no problem,major problem,minor problem,somewhat important,somewhat important,influence,no influence,yes,no,South,yes,female,White,White,Black/Hispanic,White,White,Conservative,2.0,Republican
minor problem,minor problem,minor problem,minor problem,minor problem,minor problem,minor problem,minor problem,major problem,major problem,somewhat important,somewhat important,no influence,no influence,no,no,Midwest,yes,female,White,White,Black/Hispanic,White,White,Moderate,3.0,Republican
major problem,minor problem,no problem,minor problem,major problem,minor problem,no problem,major problem,major problem,minor problem,very important,very important,influence,influence,no,no,Midwest,no,male,White,White,Black/Hispanic,White,White,Liberal,4.0,Democrat
no problem,no problem,minor problem,minor problem,major problem,no problem,minor problem,no problem,no problem,no problem,not too important,not too important,no influence,no influence,no,no,West,no,male,White,White,Black/Hispanic,White,White,Conservative,2.0,Republican
